cctv_id,road_name
0500C00001,여주
0500C00002,적금정류장
0500C00003,홍호정류장
0500C00004,후용리
0500C00005,문막휴게소(인천)
0500C00006,문막1
0500C00007,문막휴게소(강릉)
0500C00008,만종갈림목
0500C00009,원주천교
0500C00010,원주
0500C00011,소초졸음쉼터
0500C00012,교항1교
0500C00013,새말
0500C00014,상대1교
0500C00015,횡성대교종점
0500C00016,횡성휴게소
0500C00017,소사리
0500C00018,현천리1
0500C00019,둔내
0500C00020,두원1교
0500C00021,삽교리
0500C00022,둔내터널
0500C00023,둔내터널1
0500C00024,면온
0500C00025,봉평터널(강릉)
0500C00027,평창휴게소(강릉)
0500C00028,속사
0500C00029,진부12터널(인천)
0500C00030,진부
0500C00031,월정리
0500C00032,유천리
0500C00033,차향리
0500C00034,횡계리
0500C00035,대관령1터녈(인천)
0500C00037,대관령4터널(인천)
0500C00038,대관령7터널
0500C00039,성산2교
0500C00040,강릉휴게소(인천)
0500C00041,적금리
0500C00042,강천리
0500C00043,노림리1
0500C00044,노림리
0500C00045,문막
0500C00046,보통리
0500C00047,만종리
0500C00048,상만종
0500C00049,만종교
0500C00050,말미골
0500C00051,원주(상)
0500C00052,수암리
0500C00053,교향리
0500C00054,새말1
0500C00055,오원1교
0500C00056,대미원천교
0500C00057,횡성대교시점
0500C00058,상대3교
0500C00059,현천리
0500C00060,우용리
0500C00061,삽교정류장
0500C00062,면온정류장
0500C00063,용전리
0500C00064,평창휴게소(인천)
0500C00065,진부3터널(강릉외부)
0500C00066,진부리
0500C00067,싸리재
0500C00068,대관령
0500C00069,방무벽
0500C00070,대관령5터널(인천)
0500C00071,왕산리
0500C00072,성산1교(인천)
0500C00073,보광리
0500C00074,강릉휴게소(강릉)
0500C00075,강릉분기점
0500C00076,일직분기점
0500C00077,광명역
0500C00078,목감IC
0500C00079,조남분기점1
0500C00080,순산터널
0500C00081,팔곡분기점
0500C00082,매송
0500C00083,야목2교
0500C00084,비봉
0500C00085,양노1교
0500C00086,양노4교
0500C00087,하저1교
0500C00088,율암교
0500C00089,화성휴게소
0500C00090,발안
0500C00091,발안천교
0500C00092,상신2교
0500C00093,고잔1교
0500C00094,서평택분기점
0500C00095,고잔6교
0500C00096,서평택
0500C00097,석정
0500C00098,서해종점
0500C00099,서해P15갓길
0500C00100,주탑케이블6
0500C00101,서해시점
0500C00102,송악
0500C00103,도원
0500C00104,영천교
0500C00105,당진
0500C00106,석수
0500C00107,광명터널
0500C00108,광명
0500C00109,은행3교
0500C00110,신천
0500C00111,남인천
0500C00112,서창분기점
0500C00113,남동
0500C00114,문학
0500C00115,학익대교
